;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;Y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
180;170000,0;2,0;0,9999999999999999;2,0;30,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;171992,0;168531,0;171440,0;174643,0;165584,0;169230,0;6027,0;6300,0;8451,0;6000,0;6320,0;6700,0;1;ok;9,043693542480469;8,398373819166615;23,0;23,0;24,8;0,0
181;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,781105995178223;8,398373819166615;23,0;23,0;24,8;0,0
183;50000,0;2,0;3,0;1,0;53,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;46778,0;47770,0;49009,0;50593,0;20218,0;20645,0;1770,0;2009,0;2593,0;1000,0;752,0;1017,0;1;ok;8,033296585083008;8,398373819166615;23,0;23,0;24,8;0,0
185;240000,0;1,0;2,0;1,0;48,0;0,0;-1,0;-1,0;-2,0;-1,0;-1,0;3972,0;783,0;0,0;0,0;3853,0;29252,0;783,0;0,0;0,0;3853,0;29252,0;16747,0;1;ok;10,668091773986816;8,398373819166615;23,0;23,0;24,8;0,0
187;30000,0;2,0;2,0;1,0;31,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;29493,0;19433,0;18782,0;19006,0;19637,0;21251,0;3200,0;0,0;742,0;1000,0;2000,0;0,0;0;ok;7,025360107421875;8,398373819166615;23,0;23,0;24,8;0,0
190;500000,0;2,0;0,9999999999999999;1,0;36,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;8561,0;682,0;15714,0;5390,0;43386,0;0,0;1364,0;15714,0;5390,0;43386,0;0,0;0,0;1;ok;9,502127647399902;8,398373819166615;23,0;23,0;24,8;0,0
196;240000,0;2,0;2,0;1,0;56,0;2,0;2,0;-2,0;-2,0;-2,0;-2,0;2500,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;11,006693840026855;8,398373819166615;23,0;23,0;24,8;0,0
204;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,33526611328125;8,398373819166615;23,0;23,0;24,8;0,0
205;20000,0;2,0;2,0;1,0;37,0;0,0;0,0;0,0;0,0;0,0;-2,0;17312,0;17762,0;18814,0;19614,0;0,0;0,0;1500,0;1500,0;1000,0;0,0;0,0;0,0;0;ok;7,284605979919434;8,398373819166615;23,0;23,0;24,8;0,0
209;20000,0;1,0;2,0;2,0;34,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;15907,0;17141,999999999996;17844,0;18009,0;17356,0;17200,0;1498,0;1200,0;365,0;347,0;344,0;0,0;0;ok;7,2117462158203125;8,398373819166615;23,0;23,0;24,8;0,0
213;50000,0;2,0;3,0;1,0;42,0;2,0;0,0;0,0;0,0;2,0;2,0;31422,0;32420,0;33462,0;36199,0;36803,0;37566,0;1521,0000000000005;1563,0000000000005;3300,0;1500,0;1500,0;1600,0;1;ok;7,650057792663574;8,398373819166615;23,0;23,0;24,8;0,0
220;120000,0;1,0;2,0;2,0;28,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;4310,0;3905,0;2411,0;1925,0;2943,0;6249,0;3905,0;2411,0;1925,0;2943,0;6249,0;1780,0;1;ok;8,057576179504395;8,398373819166615;23,0;23,0;24,8;0,0
221;120000,0;1,0;2,0;2,0;28,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;4310,0;3905,0;2411,0;1925,0;2943,0;6249,0;3905,0;2411,0;1925,0;2943,0;6249,0;1780,0;1;ok;8,039456367492676;8,398373819166615;23,0;23,0;24,8;0,0
227;180000,0;1,0;2,0;1,0;41,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;859,0;1811,0;1335,0;366,0;1811,0;1828,0;1811,0000000000005;1335,0;366,0;1811,0;1828,0;366,0;0;ok;6,194157123565674;8,398373819166615;23,0;23,0;24,8;0,0
234;140000,0;2,0;0,9999999999999999;2,0;23,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;90289,0;91739,0;89623,0;82030,0;84792,0;84794,0;10007,0;1038,0;3900,0;5000,0;4000,0;5000,0;1;ok;7,091831684112549;8,398373819166615;23,0;23,0;24,8;0,0
235;80000,0;2,0;0,9999999999999999;2,0;24,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;329,0;49,0;317,0;827,0;390,0;120,0;500,0;320,0;900,0;400,0;120,0;400,0;1;ok;5,568629741668701;8,398373819166615;23,0;23,0;24,8;0,0
236;90000,0;2,0;2,0;2,0;26,0;0,9999999999999999;2,0;1,9999999999999998;2,0;2,0;2,0;50200,0;49092,0;53295,0;53826,0;54548,0;55525,0;0,0;5000,0;2000,0;2200,0;2000,0;2500,0;1;ok;5,974545001983643;8,398373819166615;23,0;23,0;24,8;0,0
238;50000,0;2,0;2,0;2,0;26,0;0,9999999999999999;2,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;50867,0;51486,0;48869,0;30115,0;29527,0;29998,0;1710,0;136,0;1205,9999999999995;2002,0;2005,0;3003,0;1;ok;4,938756465911865;8,398373819166615;23,0;23,0;24,8;0,0
241;50000,0;2,0;3,0;1,0;53,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;46778,0;47770,0;49009,0;50593,0;20218,0;20645,0;1770,0;2009,0;2593,0;1000,0;752,0;1017,0;1;ok;10,109613418579102;8,398373819166615;23,0;23,0;24,8;0,0
245;240000,0;1,0;2,0;1,0;48,0;0,0;-1,0;-1,0;-2,0;-1,0;-1,0;3972,0;783,0;0,0;0,0;3853,0;29252,0;783,0;0,0;0,0;3853,0;29252,0;16747,0;1;ok;10,487072944641113;8,398373819166615;23,0;23,0;24,8;0,0
248;130000,0;2,0;2,0;2,0;37,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;129677,0;131798,0;98083,0;92317,0;87375,0;87634,0;5940,0;4700,0;4433,0;3100,0;3300,0;3200,0;1;ok;7,729006767272949;8,398373819166615;23,0;23,0;24,8;0,0
254;110000,0;1,0;2,0;1,0;37,0;0,0;0,0;1,9999999999999998;2,0;0,0;5,551115123125783e-17;111864,0;112112,0;114367,0;111064,0;112123,0;111575,0;11000,0;5500,0;0,0;4400,0;4500,0;4200,0;1;ok;8,782801628112793;8,398373819166615;23,0;23,0;24,8;0,0
255;500000,0;2,0;0,9999999999999999;1,0;36,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;8561,0;682,0;15714,0;5390,0;43386,0;0,0;1364,0;15714,0;5390,0;43386,0;0,0;0,0;0;ok;12,28403377532959;8,398373819166615;23,0;23,0;24,8;0,0
263;110000,0;2,0;2,0;1,0;36,0;0,9999999999999999;2,0;0,0;0,0;2,0;2,0;10448,0;10144,0;14516,0;19396,0;9298,0;14116,0;0,0;5000,0;5000,0;0,0;5000,0;0,0;1;ok;6,434142112731934;8,398373819166615;23,0;23,0;24,8;0,0
272;50000,0;1,0;2,0;1,0;29,0;0,9999999999999999;2,0;0,0;0,0;0,0;2,0;23451,0;22781,000000000004;24108,0;25203,0;26681,0;26117,0;0,0;2000,0;1800,0;2200,0;0,0;2250,0;1;ok;7,968279838562012;8,398373819166615;23,0;23,0;24,8;0,0
275;420000,0;2,0;2,0;1,0;41,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;373978,0;389754,0;366938,0;361024,0;354813,0;344221,0;33808,0;14996,0;13209,0;12890,0;11081,0;16298,0;1;ok;17,738441467285156;8,398373819166615;23,0;23,0;24,8;0,0
276;80000,0;1,0;0,9999999999999999;1,0;45,0;0,9999999999999999;-2,0;-1,0;-1,0;-1,0;-1,0;-50,0;-440,0;170,0;-220,0;390,0;0,0;0,0;1000,0;0,0;1000,0;0,0;780,0;1;ok;8,68197250366211;8,398373819166615;23,0;23,0;24,8;0,0
282;30000,0;1,0;2,0;2,0;25,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;8864,0;10062,0;11581,0;12580,0;13716,0;14828,0;1500,0;2000,0;1500,0;1500,0;1500,0;2000,0;1;ok;6,664581775665283;8,398373819166615;23,0;23,0;24,8;0,0
284;20000,0;1,0;2,0;2,0;25,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;17286,0;18199,0;18559,0;19068,0;19053,0;16500,0;1594,0;1344,0;1243,0;617,9999999999995;579,0;778,0;1;ok;6,6449809074401855;8,398373819166615;23,0;23,0;24,8;0,0
286;20000,0;2,0;2,0;1,0;40,0;2,0;2,0;4,0;3,0;2,0;5,551115123125783e-17;17761,0;21152,0;20508,0;19933,0;19517,0;20235,0;4000,0;0,0;0,0;0,0;1000,0000000000005;3000,0;0;ok;7,197780132293701;8,398373819166615;23,0;23,0;24,8;0,0
287;50000,0;1,0;2,0;2,0;31,0;0,0;0,0;3,0000000000000004;2,0;0,0;5,551115123125783e-17;10426,0;14466,0;13952,0;13418,0;13686,0;13456,0;4231,0;0,0;0,0;451,0;456,0;449,0;0;ok;7,720931053161621;8,398373819166615;23,0;23,0;24,8;0,0
289;120000,0;2,0;2,0;1,0;36,0;2,0;2,0;0,0;0,0;2,0;2,0;117922,0;114621,0;115581,0;118481,0;116444,0;117283,0;0,0;4400,0;9000,0;0,0;9000,0;4400,0;1;ok;8,809305191040039;8,398373819166615;23,0;23,0;24,8;0,0
297;70000,0;2,0;2,0;1,0;27,0;0,0;0,0;1,9999999999999998;2,0;2,0;2,0;68425,0;71783,0;72616,0;68201,0;50995,0;48822,0;6800,0;3100,0;15,0;3850,0;0,0;1800,0;0;ok;8,92708683013916;8,398373819166615;23,0;23,0;24,8;0,0
302;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,807819366455078;8,398373819166615;23,0;23,0;24,8;0,0
303;300000,0;2,0;2,0;1,0;34,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;999,9999999999927;1000,0;1000,0;1000,0;2000,0;1000,0;1000,0;1000,0;1000,0;2000,0;1000,0000000000005;1000,0;1;ok;8,261846542358398;8,398373819166615;23,0;23,0;24,8;0,0
311;180000,0;1,0;2,0;1,0;41,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;859,0;1811,0;1335,0;366,0;1811,0;1828,0;1811,0000000000005;1335,0;366,0;1811,0;1828,0;366,0;1;ok;8,083227157592773;8,398373819166615;23,0;23,0;24,8;0,0
317;240000,0;1,0;0,9999999999999999;2,0;48,0;0,9999999999999999;3,0000000000000004;4,0;3,0;2,0;5,551115123125783e-17;180189,0;191054,0;192447,0;188156,0;183299,0;180090,0;15281,0;6000,0;0,0;0,0;9013,0;6183,0;0;ok;12,668551445007324;8,398373819166615;23,0;23,0;24,8;0,0
319;40000,0;1,0;3,0;2,0;24,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;39149,0;39189,0;40543,0;38922,0;39901,0;40746,0;1658,0;2012,0;1392,0000000000005;1605,0;1668,0;1201,0;1;ok;4,9652862548828125;8,398373819166615;23,0;23,0;24,8;0,0
320;60000,0;2,0;2,0;2,0;23,0;0,9999999999999999;2,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;45014,0;45698,0;39068,0;51205,0;54520,0;55964,0;1774,0;0,0;12858,0;4166,0;2350,0;3300,0;0;ok;7,947139263153076;8,398373819166615;23,0;23,0;24,8;0,0
322;240000,0;1,0;2,0;2,0;28,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;4882,0;5205,0;2747,0;4594,0;4092,0;4361,0;5220,0;2773,0;4614,0;4104,0;4374,0;2443,0;1;ok;7,495604038238525;8,398373819166615;23,0;23,0;24,8;0,0
329;10000,0;1,0;3,0;2,0;25,0;2,0;0,0;0,0;0,0;0,0;-2,0;4693,0;5371,0;6327,0;6055,0;0,0;0,0;1300,0000000000005;1600,0000000000005;400,0;0,0;0,0;0,0;1;ok;6,373557090759277;8,398373819166615;23,0;23,0;24,8;0,0
349;20000,0;1,0;2,0;1,0;38,0;2,0;2,0;1,9999999999999998;2,0;2,0;2,0;6313,0;8625,0;8338,0;9199,0;9378,000000000004;9080,999999999996;2426,0;0,0;1000,0;471,0;0,0;482,0;1;ok;8,041754722595215;8,398373819166615;23,0;23,0;24,8;0,0
352;20000,0;2,0;2,0;2,0;25,0;2,0;2,0;1,9999999999999998;2,0;0,0;5,551115123125783e-17;17496,0;16923,0;20319,0;19543,0;19534,0;19320,0;0,0;4000,0;0,0;391,0;386,0;249,0;0;ok;6,7543745040893555;8,398373819166615;23,0;23,0;24,8;0,0
353;20000,0;1,0;3,0;2,0;57,0;2,0;0,0;0,0;2,0;3,0;2,0;9918,0;11442,0;15926,0;16668,0;16109,0;15709,0;2000,0;5000,0;1300,0000000000005;0,0;0,0;1000,0;0;ok;10,57470417022705;8,398373819166615;23,0;23,0;24,8;0,0
359;80000,0;1,0;2,0;2,0;25,0;-1,0;2,0;-1,0;0,0;-1,0;5,551115123125783e-17;832,0;416,0;832,0;416,0;832,0;416,0;0,0;832,0;0,0;832,0;0,0;416,0;1;ok;6,93711519241333;8,398373819166615;23,0;23,0;24,8;0,0
360;150000,0;2,0;0,9999999999999999;2,0;29,0;-1,0;-1,0;-1,0;0,0;0,0;5,551115123125783e-17;2356,0;16836,0;1094,0;6382,0;5288,0;5288,0;16836,0;2000,0;5288,0;0,0;0,0;0,0;1;ok;9,058122634887695;8,398373819166615;23,0;23,0;24,8;0,0
362;20000,0;2,0;2,0;1,0;37,0;0,0;0,0;0,0;0,0;0,0;-2,0;17312,0;17762,0;18814,0;19614,0;0,0;0,0;1500,0;1500,0;1000,0;0,0;0,0;0,0;1;ok;7,322805404663086;8,398373819166615;23,0;23,0;24,8;0,0
365;300000,0;2,0;2,0;1,0;34,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;999,9999999999927;1000,0;1000,0;1000,0;2000,0;1000,0;1000,0;1000,0;1000,0;2000,0;1000,0000000000005;1000,0;1;ok;7,248453617095947;8,398373819166615;23,0;23,0;24,8;0,0
371;30000,0;2,0;2,0;2,0;34,0;0,9999999999999999;2,0;1,9999999999999998;2,0;2,0;2,0;26330,0;25608,0;28781,0;28000,0;29779,0;27343,0;0,0;3600,0;0,0;2524,0;0,0;1139,0;1;ok;9,462220191955566;8,398373819166615;23,0;23,0;24,8;0,0
374;130000,0;2,0;0,9999999999999999;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;147582,0;138996,0;140558,0;90522,0;90917,0;92330,0;5394,0;4229,0;3211,0;3297,0;3312,0;3381,0;1;ok;10,474187850952148;8,398373819166615;23,0;23,0;24,8;0,0
