;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
32;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
33;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
34;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
35;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
36;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
37;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
38;3,0;18,0;3,0;9,0;2169,0;0,0;2,0;4,0;3,0;0,0;2,0;2,0;28,0;2,0;1,0;1,0;2,0;1,0;1,0;0,0;0;ok;10,248649597167969;11,013465857505798;20,0;20,0;40,0;0,0
39;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
40;2,220446049250313e-16;6,0;4,0;3,0;3384,0;0,0;2,0;0,9999999999999998;2,220446049250313e-16;0,0;4,0;0,0;44,0;2,0;0,0;1,0;3,0;1,0;1,0;0,0;0;ok;10,19237232208252;11,013465857505798;20,0;20,0;40,0;0,0
41;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
42;2,220446049250313e-16;36,0;4,0;3,0;5371,0;0,0;2,0;3,0;2,0;2,0;2,0;1,0;28,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;0;ok;10,82099723815918;11,013465857505798;20,0;20,0;40,0;0,0
43;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
44;2,220446049250313e-16;12,0;2,0;4,0;1680,0000000000002;2,0;4,0;3,0;3,0;0,0;1,0;0,0;35,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;11,294825553894043;11,013465857505798;20,0;20,0;40,0;0,0
45;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
46;1,0;18,0;3,0;3,0;4297,0;0,0;4,0;4,0;2,220446049250313e-16;0,0;3,0;3,0;40,0;2,0;1,0;1,0;3,0;1,0;1,0;0,0;0;ok;9,782801628112793;11,013465857505798;20,0;20,0;40,0;0,0
47;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
48;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
49;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
50;2,220446049250313e-16;12,0;2,0;3,0;2578,0;0,0;0,0;3,0;1,0;0,0;4,0;3,0;55,0;2,0;2,0;1,0;3,0;1,0;0,0;0,0;1;ok;10,354423522949219;11,013465857505798;20,0;20,0;40,0;0,0
51;2,220446049250313e-16;6,0;4,0;3,0;3384,0;0,0;2,0;0,9999999999999998;2,220446049250313e-16;0,0;4,0;0,0;44,0;2,0;0,0;1,0;3,0;1,0;1,0;0,0;0;ok;11,286651611328125;11,013465857505798;20,0;20,0;40,0;0,0
52;2,220446049250313e-16;12,0;2,0;0,0;900,0;4,0;2,0;4,0;3,0;0,0;2,0;2,0;23,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,693072319030762;11,013465857505798;20,0;20,0;40,0;0,0
53;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
54;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
55;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
56;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
57;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
58;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
59;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
60;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
61;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
62;3,0;18,0;4,0;4,0;1800,0;0,0;2,0;4,0;2,0;0,0;2,0;2,0;24,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;1;ok;11,721076011657715;11,013465857505798;20,0;20,0;40,0;0,0
63;2,220446049250313e-16;9,0;4,0;4,0;1138,0;0,0;2,0;4,0;2,0;0,0;4,0;0,0;25,0;2,0;1,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;10,723122596740723;11,013465857505798;20,0;20,0;40,0;0,0
64;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
65;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
66;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
67;2,220446049250313e-16;36,0;4,0;3,0;6229,0;0,0;1,0000000000000002;4,0;1,0;1,0;4,0;3,0;23,0;2,0;0,0;2,0;0,9999999999999999;1,0;1,0;0,0;0;ok;12,025655746459961;11,013465857505798;20,0;20,0;40,0;0,0
68;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
69;1,0;9,0;4,0;7,0;1136,0;3,0;4,0;4,0;2,0;0,0;3,0;3,0;32,0;2,0;2,0;2,0;2,0;2,0;0,0;0,0;1;ok;13,024907112121582;11,013465857505798;20,0;20,0;40,0;0,0
70;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
71;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
72;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
73;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
74;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
75;1,0;18,0;4,0;0,0;1056,0;0,0;4,0;3,0;2,0;2,0;3,0;0,0;30,0;2,220446049250313e-16;1,0;2,0;2,0;1,0;0,0;0,0;0;ok;11,211546897888184;11,013465857505798;20,0;20,0;40,0;0,0
76;2,220446049250313e-16;30,0;2,0;3,0;6350,0;4,0;4,0;4,0;2,0;0,0;4,0;1,0;31,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,872593879699707;11,013465857505798;20,0;20,0;40,0;0,0
77;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
78;1,0;48,0;2,0;0,0;8487,0;4,0;3,0;0,9999999999999998;1,0;0,0;2,0;2,0;24,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;10,74899673461914;11,013465857505798;20,0;20,0;40,0;0,0
79;2,220446049250313e-16;24,0;2,0;3,0;2359,0;1,0;0,0;0,9999999999999998;2,220446049250313e-16;0,0;1,0;1,0;33,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;10,63929271697998;11,013465857505798;20,0;20,0;40,0;0,0
80;3,0;60,0;4,0;0,0;13756,0;4,0;4,0;2,0;2,0;0,0;4,0;3,0;63,0;2,220446049250313e-16;2,0;1,0;3,0;1,0;1,0;0,0;1;ok;12,805022239685059;11,013465857505798;20,0;20,0;40,0;0,0
81;1,0;12,0;2,0;3,0;951,0;1,0;1,0000000000000002;4,0;1,0;0,0;4,0;2,0;27,0;2,220446049250313e-16;0,0;4,0;2,0;1,0;0,0;0,0;0;ok;12,043109893798828;11,013465857505798;20,0;20,0;40,0;0,0
82;2,220446049250313e-16;30,0;2,0;4,0;2522,0;0,0;4,0;0,9999999999999998;2,0;2,0;3,0;1,0;39,0;2,0;1,0;1,0;2,0;2,0;0,0;0,0;1;ok;10,047687530517578;11,013465857505798;20,0;20,0;40,0;0,0
83;1,0;36,0;4,0;4,0;2337,0;0,0;4,0;4,0;2,0;0,0;4,0;0,0;36,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;12,287294387817383;11,013465857505798;20,0;20,0;40,0;0,0
84;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
85;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
86;2,220446049250313e-16;18,0;4,0;0,0;5302,0;0,0;4,0;2,0;2,0;0,0;4,0;3,0;36,0;2,0;2,0;3,0;3,0;1,0;1,0;0,0;0;ok;11,837969779968262;11,013465857505798;20,0;20,0;40,0;0,0
87;3,0;24,0;3,0;0,0;2538,0;0,0;4,0;4,0;2,0;0,0;4,0;2,0;47,0;2,0;1,0;2,0;0,9999999999999999;2,0;0,0;0,0;0;ok;11,809516906738281;11,013465857505798;20,0;20,0;40,0;0,0
88;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
89;2,220446049250313e-16;9,0;4,0;4,0;1138,0;0,0;2,0;4,0;2,0;0,0;4,0;0,0;25,0;2,0;1,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;9,0265474319458;11,013465857505798;20,0;20,0;40,0;0,0
90;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
91;2,220446049250313e-16;30,0;0,0;9,0;8072,0;4,0;1,0000000000000002;2,0;2,0;0,0;3,0;2,0;25,0;2,220446049250313e-16;1,0;3,0;2,0;1,0;0,0;0,0;1;ok;13,473660469055176;11,013465857505798;20,0;20,0;40,0;0,0
92;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
93;2,0;9,0;0,0;4,0;1337,0;0,0;1,0000000000000002;4,0;2,0;0,0;2,0;2,0;34,0;2,0;1,0;2,0;3,0;1,0;1,0;0,0;0;ok;8,798989295959473;11,013465857505798;20,0;20,0;40,0;0,0
94;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
95;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
96;3,0;12,0;2,0;1,0;2445,0;4,0;1,0000000000000002;2,0;3,0;0,0;4,0;2,0;26,0;2,0;0,0;1,0;2,0;1,0;1,0;0,0;1;ok;10,124224662780762;11,013465857505798;20,0;20,0;40,0;0,0
97;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
98;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
99;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
100;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
101;1,0;60,0;2,0;0,0;7408,0;1,0;1,0000000000000002;4,0;1,0;0,0;2,0;1,0;24,0;2,0;1,0;1,0;3,0;1,0;0,0;0,0;0;ok;11,3475980758667;11,013465857505798;20,0;20,0;40,0;0,0
102;1,0;24,0;2,0;0,0;1201,0;0,0;1,0000000000000002;4,0;2,0;0,0;1,0;1,0;26,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;9,440130233764648;11,013465857505798;20,0;20,0;40,0;0,0
103;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
104;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
105;2,220446049250313e-16;24,0;1,0;9,0;3161,0;0,0;2,0;4,0;2,0;0,0;2,0;1,0;31,0;2,0;0,0;1,0;2,0;1,0;1,0;0,0;1;ok;10,787931442260742;11,013465857505798;20,0;20,0;40,0;0,0
106;3,0;12,0;4,0;9,0;2292,0;0,0;0,0;4,0;2,0;0,0;2,0;2,0;42,0;1,0;1,0;2,0;3,0;1,0;1,0;0,0;0;ok;10,550594329833984;11,013465857505798;20,0;20,0;40,0;0,0
107;1,0;9,0;1,0;1,0;5129,0;0,0;4,0;2,0;1,0;0,0;4,0;3,0;74,0;2,220446049250313e-16;2,0;1,0;3,0;2,0;1,0;0,0;0;ok;13,007061958312988;11,013465857505798;20,0;20,0;40,0;0,0
108;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
109;2,220446049250313e-16;21,0;2,0;4,0;1835,0;0,0;2,0;3,0;1,0;0,0;2,0;0,0;25,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;0;ok;10,197955131530762;11,013465857505798;20,0;20,0;40,0;0,0
110;1,0;36,0;0,0;9,0;1953,0;0,0;4,0;4,0;2,0;0,0;4,0;3,0;61,0;2,0;2,0;1,0;3,0;1,0;1,0;0,0;1;ok;11,83872127532959;11,013465857505798;20,0;20,0;40,0;0,0
111;2,220446049250313e-16;24,0;2,0;4,0;1823,0;0,0;0,0;4,0;2,0;0,0;2,0;2,0;30,0;1,0;1,0;1,0;3,0;2,0;0,0;0,0;0;ok;11,067517280578613;11,013465857505798;20,0;20,0;40,0;0,0
112;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
113;3,0;24,0;3,0;0,0;2538,0;0,0;4,0;4,0;2,0;0,0;4,0;2,0;47,0;2,0;1,0;2,0;0,9999999999999999;2,0;0,0;0,0;0;ok;12,155725479125977;11,013465857505798;20,0;20,0;40,0;0,0
114;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
115;2,0;9,0;0,0;4,0;1337,0;0,0;1,0000000000000002;4,0;2,0;0,0;2,0;2,0;34,0;2,0;1,0;2,0;3,0;1,0;1,0;0,0;0;ok;9,071123123168945;11,013465857505798;20,0;20,0;40,0;0,0
116;2,220446049250313e-16;12,0;2,0;4,0;1680,0000000000002;2,0;4,0;3,0;3,0;0,0;1,0;0,0;35,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;12,53211498260498;11,013465857505798;20,0;20,0;40,0;0,0
117;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
118;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
119;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
120;3,0;30,0;2,0;4,0;1867,0;4,0;4,0;4,0;2,0;0,0;4,0;2,0;58,0;2,0;1,0;1,0;2,0;1,0;1,0;0,0;0;ok;11,516345024108887;11,013465857505798;20,0;20,0;40,0;0,0
121;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
122;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
123;1,0;9,0;4,0;7,0;1136,0;3,0;4,0;4,0;2,0;0,0;3,0;3,0;32,0;2,0;2,0;2,0;2,0;2,0;0,0;0,0;1;ok;14,128191947937012;11,013465857505798;20,0;20,0;40,0;0,0
124;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
125;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
126;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
127;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
128;1,0;36,0;3,0;0,0;7432,0;0,0;2,0;2,0;1,0;0,0;2,0;1,0;54,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,894919395446777;11,013465857505798;20,0;20,0;40,0;0,0
129;2,220446049250313e-16;12,0;2,0;3,0;2577,0;0,0;2,0;2,0;2,220446049250313e-16;0,0;1,0;2,0;42,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;9,402021408081055;11,013465857505798;20,0;20,0;40,0;0,0
130;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
131;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
132;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
133;3,0;21,0;4,0;0,0;12680,0;4,0;4,0;4,0;2,0;0,0;4,0;3,0;30,0;2,0;2,0;1,0;3,0;1,0;1,0;0,0;0;ok;11,156185150146484;11,013465857505798;20,0;20,0;40,0;0,0
134;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
135;3,0;6,0;0,0;4,0;426,0;0,0;4,0;4,0;3,0;0,0;4,0;2,0;39,0;2,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;1;ok;10,422544479370117;11,013465857505798;20,0;20,0;40,0;0,0
136;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
137;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
138;2,220446049250313e-16;24,0;3,0;4,0;1659,0;0,0;1,0000000000000002;4,0;1,0;0,0;2,0;2,0;29,0;2,0;0,0;1,0;0,9999999999999999;1,0;1,0;0,0;0;ok;10,427056312561035;11,013465857505798;20,0;20,0;40,0;0,0
139;2,220446049250313e-16;24,0;2,0;3,0;3149,0;0,0;1,0000000000000002;4,0;2,0;0,0;1,0;3,0;22,0;2,220446049250313e-16;2,0;1,0;2,0;1,0;0,0;0,0;1;ok;9,70588207244873;11,013465857505798;20,0;20,0;40,0;0,0
140;2,220446049250313e-16;21,0;2,0;4,0;1835,0;0,0;2,0;3,0;1,0;0,0;2,0;0,0;25,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;0;ok;11,462122917175293;11,013465857505798;20,0;20,0;40,0;0,0
141;2,220446049250313e-16;24,0;2,0;1,0;6579,0;0,0;0,0;4,0;2,0;0,0;2,0;3,0;29,0;2,0;2,0;1,0;3,0;1,0;1,0;0,0;1;ok;10,766279220581055;11,013465857505798;20,0;20,0;40,0;0,0
142;1,0;36,0;2,0;1,0;9398,0;0,0;1,0000000000000002;0,9999999999999998;3,0;0,0;4,0;2,0;28,0;2,0;0,0;1,0;3,0;1,0;1,0;0,0;1;ok;11,17057991027832;11,013465857505798;20,0;20,0;40,0;0,0
143;1,0;18,0;4,0;0,0;1056,0;0,0;4,0;3,0;2,0;2,0;3,0;0,0;30,0;2,220446049250313e-16;1,0;2,0;2,0;1,0;0,0;0,0;0;ok;10,179391860961914;11,013465857505798;20,0;20,0;40,0;0,0
144;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
145;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
146;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
147;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
148;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
149;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
150;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
151;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
152;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
153;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
154;1,0;9,0;2,0;0,0;276,0;0,0;2,0;4,0;3,0;0,0;4,0;0,0;22,0;2,0;0,0;1,0;0,9999999999999999;1,0;0,0;0,0;1;ok;12,156882286071777;11,013465857505798;20,0;20,0;40,0;0,0
155;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
156;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
157;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
158;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
159;3,0;6,0;4,0;3,0;1221,0;4,0;2,0;0,9999999999999998;3,0;0,0;2,0;1,0;27,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;1;ok;10,459750175476074;11,013465857505798;20,0;20,0;40,0;0,0
160;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
161;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
162;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
163;2,220446049250313e-16;12,0;2,0;3,0;1282,0;0,0;2,0;2,0;1,0;0,0;4,0;2,0;20,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,639298439025879;11,013465857505798;20,0;20,0;40,0;0,0
164;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
165;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
166;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
