;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
24;45,0;Private;170846,0;Assoc-voc;11,0;Married-civ-spouse;Exec-managerial;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;11,034698486328125;11,25277314430628;14,0;14,0;31,2;0,0
27;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;10,477996826171875;11,25277314430628;14,0;14,0;31,2;0,0
35;57,0;Self-emp-not-inc;149168,0;Some-college;10,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;11,859844207763672;11,25277314430628;14,0;14,0;31,2;0,0
39;36,0;Private;209609,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;38,0;United-States;>50K;ok;10,4730806350708;11,25277314430628;14,0;14,0;31,2;0,0
45;51,0;State-gov;152810,0;Assoc-voc;11,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;11,260300636291504;11,25277314430628;14,0;14,0;31,2;0,0
46;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;10,029154777526855;11,25277314430628;14,0;14,0;31,2;0,0
48;43,0;Private;174575,0;Some-college;10,0;Divorced;Adm-clerical;Not-in-family;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;10,930907249450684;11,25277314430628;14,0;14,0;31,2;0,0
64;45,0;Self-emp-not-inc;31478,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;2829,0;0,0;60,0;United-States;<=50K;ok;11,175291061401367;11,25277314430628;14,0;14,0;31,2;0,0
65;64,0;Private;391121,0;7th-8th;4,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,733696937561035;11,25277314430628;14,0;14,0;31,2;0,0
70;35,0;Private;115792,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;10,921682357788086;11,25277314430628;14,0;14,0;31,2;0,0
77;25,0;Private;257910,0;Bachelors;13,0;Never-married;Exec-managerial;Not-in-family;White;Male;0,0;0,0;50,0;United-States;<=50K;ok;12,601006507873535;11,25277314430628;14,0;14,0;31,2;0,0
79;39,0;Private;225707,0;Assoc-voc;11,0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0,0;0,0;40,0;Cuba;<=50K;ok;9,332974433898926;11,25277314430628;14,0;14,0;31,2;0,0
89;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;11,45883560180664;11,25277314430628;14,0;14,0;31,2;0,0
92;40,0;Self-emp-not-inc;194924,0;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;60,0;United-States;<=50K;ok;11,893503189086914;11,25277314430628;14,0;14,0;31,2;0,0
93;58,0;Private;78141,0;HS-grad;9,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,76015567779541;11,25277314430628;14,0;14,0;31,2;0,0
101;50,0;Private;196193,0;Masters;14,0;Married-spouse-absent;Prof-specialty;Other-relative;White;Male;0,0;0,0;60,0;;>50K;ok;12,472646713256836;11,25277314430628;14,0;14,0;31,2;0,0
103;39,0;Private;200598,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;11,069222450256348;11,25277314430628;14,0;14,0;31,2;0,0
111;39,0;Federal-gov;455399,0;HS-grad;9,0;Married-civ-spouse;Protective-serv;Husband;Asian-Pac-Islander;Male;15023,999999999998;0,0;40,0;United-States;>50K;ok;11,091268539428711;11,25277314430628;14,0;14,0;31,2;0,0
114;62,0;Private;82906,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Wife;White;Female;4064,0;0,0;35,0;England;>50K;ok;10,933394432067871;11,25277314430628;14,0;14,0;31,2;0,0
116;41,0;Private;145441,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,226821899414062;11,25277314430628;14,0;14,0;31,2;0,0
119;44,0;Private;298885,0;HS-grad;9,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,454543113708496;11,25277314430628;14,0;14,0;31,2;0,0
120;39,0;Private;200598,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;10,967950820922852;11,25277314430628;14,0;14,0;31,2;0,0
123;46,0;Self-emp-inc;112320,0;Bachelors;13,0;Divorced;Exec-managerial;Not-in-family;White;Female;0,0;0,0;50,0;United-States;<=50K;ok;10,881750106811523;11,25277314430628;14,0;14,0;31,2;0,0
124;39,0;Private;107164,0;HS-grad;9,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,337174415588379;11,25277314430628;14,0;14,0;31,2;0,0
135;50,0;Private;337606,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;1485,0;40,0;United-States;<=50K;ok;11,654450416564941;11,25277314430628;14,0;14,0;31,2;0,0
140;39,0;Private;200598,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;10,97509479522705;11,25277314430628;14,0;14,0;31,2;0,0
141;39,0;Private;200598,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;55,0;United-States;<=50K;ok;10,976646423339844;11,25277314430628;14,0;14,0;31,2;0,0
145;39,0;Self-emp-not-inc;83242,0;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;60,0;United-States;<=50K;ok;11,650556564331055;11,25277314430628;14,0;14,0;31,2;0,0
147;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;9,891072273254395;11,25277314430628;14,0;14,0;31,2;0,0
152;41,0;Private;145441,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,155675888061523;11,25277314430628;14,0;14,0;31,2;0,0
156;34,0;Private;190385,0;Masters;14,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;40,0;United-States;>50K;ok;12,639771461486816;11,25277314430628;14,0;14,0;31,2;0,0
157;39,0;Federal-gov;455399,0;HS-grad;9,0;Married-civ-spouse;Protective-serv;Husband;Asian-Pac-Islander;Male;15023,999999999998;0,0;40,0;United-States;>50K;ok;12,333038330078125;11,25277314430628;14,0;14,0;31,2;0,0
162;27,0;Private;106562,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;50,0;United-States;>50K;ok;11,156996726989746;11,25277314430628;14,0;14,0;31,2;0,0
166;58,0;Private;78141,0;HS-grad;9,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,727355003356934;11,25277314430628;14,0;14,0;31,2;0,0
167;27,0;Private;106562,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;50,0;United-States;>50K;ok;11,204704284667969;11,25277314430628;14,0;14,0;31,2;0,0
169;34,0;Private;190385,0;Masters;14,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;40,0;United-States;>50K;ok;11,691707611083984;11,25277314430628;14,0;14,0;31,2;0,0
171;58,0;Private;111209,0;HS-grad;9,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;10,861888885498047;11,25277314430628;14,0;14,0;31,2;0,0
174;64,0;Private;391121,0;7th-8th;4,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,636634826660156;11,25277314430628;14,0;14,0;31,2;0,0
175;41,0;Private;125461,0;Some-college;10,0;Divorced;Craft-repair;Not-in-family;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,400727272033691;11,25277314430628;14,0;14,0;31,2;0,0
187;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;12,667205810546875;11,25277314430628;14,0;14,0;31,2;0,0
188;47,0;Private;188195,0;Some-college;10,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,7966890335083;11,25277314430628;14,0;14,0;31,2;0,0
192;54,0;Private;98436,0;Masters;14,0;Married-civ-spouse;Other-service;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;11,225419998168945;11,25277314430628;14,0;14,0;31,2;0,0
194;42,0;Private;187720,0;Masters;14,0;Married-civ-spouse;Sales;Husband;White;Male;15023,999999999998;0,0;50,0;;>50K;ok;12,32950496673584;11,25277314430628;14,0;14,0;31,2;0,0
196;43,0;Federal-gov;192381,0;Bachelors;13,0;Never-married;Other-service;Own-child;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,865009307861328;11,25277314430628;14,0;14,0;31,2;0,0
204;35,0;Private;145704,0;HS-grad;9,0;Married-civ-spouse;Prof-specialty;Wife;White;Female;3942,0;0,0;35,0;United-States;<=50K;ok;10,440407752990723;11,25277314430628;14,0;14,0;31,2;0,0
206;27,0;Private;106562,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;50,0;United-States;>50K;ok;11,068679809570312;11,25277314430628;14,0;14,0;31,2;0,0
207;50,0;Private;196193,0;Masters;14,0;Married-spouse-absent;Prof-specialty;Other-relative;White;Male;0,0;0,0;60,0;;<=50K;ok;13,697019577026367;11,25277314430628;14,0;14,0;31,2;0,0
208;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;9,661776542663574;11,25277314430628;14,0;14,0;31,2;0,0
212;44,0;Private;71269,0;Some-college;10,0;Divorced;Exec-managerial;Not-in-family;White;Male;0,0;0,0;50,0;United-States;<=50K;ok;10,786520004272461;11,25277314430628;14,0;14,0;31,2;0,0
220;48,0;Federal-gov;273402,0;7th-8th;4,0;Married-civ-spouse;Transport-moving;Husband;White;Male;0,0;1902,0;40,0;United-States;>50K;ok;11,43248176574707;11,25277314430628;14,0;14,0;31,2;0,0
225;52,0;Private;311350,0;HS-grad;9,0;Divorced;Transport-moving;Not-in-family;White;Male;0,0;0,0;50,0;United-States;>50K;ok;10,92996597290039;11,25277314430628;14,0;14,0;31,2;0,0
230;41,0;Private;328013,0;Masters;14,0;Never-married;Prof-specialty;Not-in-family;Asian-Pac-Islander;Male;0,0;0,0;65,0;United-States;<=50K;ok;12,657806396484375;11,25277314430628;14,0;14,0;31,2;0,0
233;37,0;Federal-gov;186035,0;Some-college;10,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;0,0;45,0;United-States;>50K;ok;10,725423812866211;11,25277314430628;14,0;14,0;31,2;0,0
235;48,0;Federal-gov;283037,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;11,038098335266113;11,25277314430628;14,0;14,0;31,2;0,0
245;37,0;Self-emp-not-inc;42044,0;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;84,0;United-States;<=50K;ok;12,472786903381348;11,25277314430628;14,0;14,0;31,2;0,0
249;34,0;Private;35595,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,391057968139648;11,25277314430628;14,0;14,0;31,2;0,0
254;34,0;Private;199539,0;Assoc-voc;11,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;48,0;United-States;>50K;ok;10,247174263000488;11,25277314430628;14,0;14,0;31,2;0,0
261;35,0;Private;112271,0;Some-college;10,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;45,0;United-States;>50K;ok;10,599898338317871;11,25277314430628;14,0;14,0;31,2;0,0
262;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;11,672871589660645;11,25277314430628;14,0;14,0;31,2;0,0
266;80,0;Self-emp-not-inc;201092,0;HS-grad;9,0;Married-civ-spouse;Other-service;Husband;White;Male;0,0;0,0;30,0;United-States;<=50K;ok;11,77370834350586;11,25277314430628;14,0;14,0;31,2;0,0
278;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;12,17042064666748;11,25277314430628;14,0;14,0;31,2;0,0
281;47,0;Self-emp-not-inc;235646,0;Masters;14,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;11,544245719909668;11,25277314430628;14,0;14,0;31,2;0,0
283;34,0;Private;190385,0;Masters;14,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;40,0;United-States;>50K;ok;11,505125999450684;11,25277314430628;14,0;14,0;31,2;0,0
284;51,0;Private;146813,0;Some-college;10,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;11,033377647399902;11,25277314430628;14,0;14,0;31,2;0,0
285;38,0;Private;179352,0;Assoc-acdm;12,0;Married-spouse-absent;Adm-clerical;Unmarried;White;Female;0,0;0,0;40,0;United-States;<=50K;ok;10,8723726272583;11,25277314430628;14,0;14,0;31,2;0,0
287;44,0;Self-emp-inc;57233,0;Some-college;10,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,820578575134277;11,25277314430628;14,0;14,0;31,2;0,0
289;51,0;Private;117700,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;<=50K;ok;11,572171211242676;11,25277314430628;14,0;14,0;31,2;0,0
290;26,0;Private;184872,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Wife;White;Female;0,0;0,0;55,0;United-States;>50K;ok;11,792465209960938;11,25277314430628;14,0;14,0;31,2;0,0
293;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;<=50K;ok;10,548690795898438;11,25277314430628;14,0;14,0;31,2;0,0
298;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;11,676396369934082;11,25277314430628;14,0;14,0;31,2;0,0
301;44,0;Self-emp-inc;57233,0;Some-college;10,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,878715515136719;11,25277314430628;14,0;14,0;31,2;0,0
305;29,0;Private;183111,0;Assoc-voc;11,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;9,985965728759766;11,25277314430628;14,0;14,0;31,2;0,0
308;37,0;Self-emp-inc;116554,0;Masters;14,0;Divorced;Exec-managerial;Not-in-family;White;Female;0,0;0,0;70,0;United-States;<=50K;ok;11,554810523986816;11,25277314430628;14,0;14,0;31,2;0,0
312;59,0;Private;59469,000000000015;Masters;14,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;0,0;40,0;Iran;<=50K;ok;11,363401412963867;11,25277314430628;14,0;14,0;31,2;0,0
313;64,0;Private;391121,0;7th-8th;4,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,642855644226074;11,25277314430628;14,0;14,0;31,2;0,0
315;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;12,623522758483887;11,25277314430628;14,0;14,0;31,2;0,0
316;47,0;Federal-gov;128401,0;Doctorate;16,0;Never-married;Prof-specialty;Unmarried;White;Female;0,0;0,0;40,0;United-States;<=50K;ok;12,211994171142578;11,25277314430628;14,0;14,0;31,2;0,0
318;41,0;Private;145441,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,216401100158691;11,25277314430628;14,0;14,0;31,2;0,0
323;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;10,602156639099121;11,25277314430628;14,0;14,0;31,2;0,0
325;59,0;Private;229939,0;HS-grad;9,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;11,143534660339355;11,25277314430628;14,0;14,0;31,2;0,0
327;20,0;Private;127185,0;Some-college;10,0;Never-married;Prof-specialty;Own-child;White;Female;0,0;0,0;15,000000000000004;United-States;<=50K;ok;10,876856803894043;11,25277314430628;14,0;14,0;31,2;0,0
330;38,0;Private;216129,0;Bachelors;13,0;Divorced;Other-service;Not-in-family;Asian-Pac-Islander;Female;0,0;0,0;60,0;;>50K;ok;10,566994667053223;11,25277314430628;14,0;14,0;31,2;0,0
332;41,0;Federal-gov;183009,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Husband;Asian-Pac-Islander;Male;0,0;0,0;40,0;United-States;>50K;ok;9,779924392700195;11,25277314430628;14,0;14,0;31,2;0,0
334;51,0;Federal-gov;45487,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Husband;White;Male;0,0;0,0;80,0;United-States;<=50K;ok;12,293331146240234;11,25277314430628;14,0;14,0;31,2;0,0
337;34,0;Private;141058,0;Some-college;10,0;Married-civ-spouse;Other-service;Husband;White;Male;0,0;0,0;62,0;Mexico;<=50K;ok;10,972661972045898;11,25277314430628;14,0;14,0;31,2;0,0
340;49,0;Self-emp-not-inc;155862,0;HS-grad;9,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;50,0;United-States;>50K;ok;11,211374282836914;11,25277314430628;14,0;14,0;31,2;0,0
342;37,0;Self-emp-not-inc;42044,0;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;84,0;United-States;<=50K;ok;12,392871856689453;11,25277314430628;14,0;14,0;31,2;0,0
348;26,0;Private;184872,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Wife;White;Female;0,0;0,0;55,0;United-States;>50K;ok;11,08616828918457;11,25277314430628;14,0;14,0;31,2;0,0
349;36,0;Private;191754,0;HS-grad;9,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;50,0;United-States;>50K;ok;10,373871803283691;11,25277314430628;14,0;14,0;31,2;0,0
351;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;11,627817153930664;11,25277314430628;14,0;14,0;31,2;0,0
354;64,0;Private;391121,0;7th-8th;4,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,770914077758789;11,25277314430628;14,0;14,0;31,2;0,0
357;34,0;Private;106761,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;45,0;United-States;>50K;ok;10,617772102355957;11,25277314430628;14,0;14,0;31,2;0,0
361;58,0;Federal-gov;283635,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;40,0;United-States;<=50K;ok;11,52873420715332;11,25277314430628;14,0;14,0;31,2;0,0
366;55,0;Private;209962,0;HS-grad;9,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;35,0;United-States;>50K;ok;10,833420753479004;11,25277314430628;14,0;14,0;31,2;0,0
367;34,0;Private;190385,0;Masters;14,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;40,0;United-States;>50K;ok;11,555196762084961;11,25277314430628;14,0;14,0;31,2;0,0
368;42,0;Private;37869,0;Some-college;10,0;Divorced;Machine-op-inspct;Not-in-family;White;Male;0,0;1590,0;40,0;United-States;<=50K;ok;11,528450012207031;11,25277314430628;14,0;14,0;31,2;0,0
369;45,0;Self-emp-not-inc;31478,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;2829,0;0,0;60,0;United-States;>50K;ok;11,74481201171875;11,25277314430628;14,0;14,0;31,2;0,0
374;48,0;Federal-gov;283037,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,821237564086914;11,25277314430628;14,0;14,0;31,2;0,0
376;56,0;Self-emp-inc;211804,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;15023,999999999998;0,0;50,0;United-States;>50K;ok;12,286619186401367;11,25277314430628;14,0;14,0;31,2;0,0
379;39,0;Private;117381,0;Some-college;10,0;Divorced;Transport-moving;Not-in-family;White;Male;0,0;0,0;65,0;United-States;>50K;ok;11,456140518188477;11,25277314430628;14,0;14,0;31,2;0,0
384;34,0;Federal-gov;454076,0;Assoc-voc;11,0;Married-civ-spouse;Other-service;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,779882431030273;11,25277314430628;14,0;14,0;31,2;0,0
385;44,0;State-gov;115932,0;Masters;14,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;11,51263427734375;11,25277314430628;14,0;14,0;31,2;0,0
386;23,0;Private;220993,0;Some-college;10,0;Never-married;Other-service;Own-child;White;Male;0,0;0,0;35,0;United-States;<=50K;ok;12,12203311920166;11,25277314430628;14,0;14,0;31,2;0,0
387;32,0;Private;37210,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;45,0;United-States;>50K;ok;10,395875930786133;11,25277314430628;14,0;14,0;31,2;0,0
390;50,0;Private;196193,0;Masters;14,0;Married-spouse-absent;Prof-specialty;Other-relative;White;Male;0,0;0,0;60,0;;<=50K;ok;12,362713813781738;11,25277314430628;14,0;14,0;31,2;0,0
391;44,0;Private;144778,0;Some-college;10,0;Separated;Exec-managerial;Not-in-family;White;Male;0,0;0,0;45,0;United-States;>50K;ok;12,262045860290527;11,25277314430628;14,0;14,0;31,2;0,0
392;29,0;Federal-gov;220419,0;Bachelors;13,0;Never-married;Protective-serv;Not-in-family;White;Male;0,0;0,0;56,0;United-States;<=50K;ok;13,025348663330078;11,25277314430628;14,0;14,0;31,2;0,0
395;40,0;Private;20109,0;Some-college;10,0;Divorced;Handlers-cleaners;Not-in-family;Amer-Indian-Eskimo;Female;0,0;0,0;84,0;United-States;<=50K;ok;12,229873657226562;11,25277314430628;14,0;14,0;31,2;0,0
400;39,0;Federal-gov;455399,0;HS-grad;9,0;Married-civ-spouse;Protective-serv;Husband;Asian-Pac-Islander;Male;15023,999999999998;0,0;40,0;United-States;>50K;ok;12,675559997558594;11,25277314430628;14,0;14,0;31,2;0,0
401;41,0;Private;145441,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;10,221880912780762;11,25277314430628;14,0;14,0;31,2;0,0
406;35,0;Private;112271,0;Some-college;10,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;10,929128646850586;11,25277314430628;14,0;14,0;31,2;0,0
409;40,0;Private;213019,0;HS-grad;9,0;Divorced;Sales;Unmarried;White;Female;0,0;0,0;30,0;United-States;<=50K;ok;10,350761413574219;11,25277314430628;14,0;14,0;31,2;0,0
414;37,0;Private;35330,0;HS-grad;9,0;Divorced;Craft-repair;Not-in-family;White;Male;0,0;1668,9999999999998;55,0;United-States;>50K;ok;11,608860969543457;11,25277314430628;14,0;14,0;31,2;0,0
416;44,0;Private;144778,0;Some-college;10,0;Separated;Exec-managerial;Not-in-family;White;Male;0,0;0,0;45,0;United-States;>50K;ok;11,396631240844727;11,25277314430628;14,0;14,0;31,2;0,0
